S.NO.,PLAYER NAME,TEAM NAME,BASE VALUE,PLAYER VALUE,🔒 Row ID,CONTRACT 
62,ANATOLIY TRUBIN,,100,,ukgSi5lkQzab.QrJNwE3lw,
63,DORDE PETROVIC,,100,,Os1y9FouStSI3AB.Fol6Rw,
64,LUKAS HRADECKY,,100,,4Fh3Yw7qRAe1vHjDVQBdNg,
65,BENTO,,100,,g6QNH5JgT9SYpcFYuDVbLA,
66,MARCIN BULKA,,100,,t2zTjevSStmg.6wYmH6Y4g,
67,ALEXANDER NUBEL,,100,,LlOwtRMQQsGow.uGY8VqJQ,
68,KOEN CASTEELS,,100,,ukgSi5lkQzab.QrJNwE3lw,
69,ALVARO VALLES,,100,,9tOWNEP7TfOLQ3DqchOIug,
70,PETER GULACSI,,80,,wesUhC5gREa2V4hE7npQSA,
71,KASPER SCHMEICHEL,,80,,e8jIUt8mQXuYKLevRRvU1A,
72,FILIP JORGENSEN,,80,,ukgSi5lkQzab.QrJNwE3lw,
73,PIETRO TERRACCIANO,,80,,pyoqO.mXTomKkLiZryYfcA,
74,JOSE SA,,80,,gCcZyDSUT6yPXTJds0nUHQ,
75,EDOUARD MENDY,,80,,v3sjxJn.RDKwoPDE3SpiGQ,
76,ROBERT SANCHEZ,,80,,wxyWIVghSserMi82Mr7mGQ,
77,HUGO LLORIS,,80,,ukgSi5lkQzab.QrJNwE3lw,
78,GUILLERMO OCHOA,,80,,u5f--baIQAW1U1xkxmvqkA,
79,DAVID OSPINA,,80,,5tn2zN9VTayJm3JEBvnAqg,
80,,,,,sd79NXuXRA2qnz9UFnI0-w,
81,,,,,sd79NXuXRA2qnz9UFnI0-w,
82,,,,,sd79NXuXRA2qnz9UFnI0-w,
83,,,,,sd79NXuXRA2qnz9UFnI0-w,
84,,,,,sd79NXuXRA2qnz9UFnI0-w,
85,,,,,xgcO-P41TQ6ALrL5bKMlnQ,
86,,,,,Qe0Tilo5TGuN85KPM.ZHaw,
87,,,,,nC50wLUbQAq2P17zz8irJg,
88,,,,,ASHfFvpWQn61DFCnlLjufQ,
89,,,,,VWi6EqD9SOSLC952UpNxQQ,
90,,,,,wmDikx9WTZ-.Fn0oKVm8IQ,
91,,,,,SxZ6atYxRE6BvBH0.l4kvQ,
92,,,,,pnkx5qRuSeSdi8tmdaRrNw,
93,,,,,L2J7yo3lTSK-TpCTyFIcFw,
94,,,,,pI75gVkLR0ixnP7je8TJ-w,
95,,,,,8paiqAS1Q7uHFjWn2dXnzw,
96,,,,,eWww92X.TAORhUucsbpbOw,
97,,,,,ljzsAIA9THqpJV7XimZvDA,
98,,,,,8G1O1fzCSxG0FmSgNakYQw,
99,,,,,sCiBs6qrQHayt.q3bG2CTg,
100,,,,,a.KLOoFdbTyeRX-3dDkgJBg,
101,,,,,v9sZuIqCS4KVwDL16dISgg,
102,,,,,1o0ddxmlRzyy1U.gHKjUcw,
103,,,,,ZpdXUJ4XREiXgyhjGy2ntA,
104,,,,,rZXnbzcHTxWf8XcfL8HWyw,
105,,,,,G402c0W-Tl20Mif3RrLknw,
106,,,,,Eo1bjPgmR1OeGBD3AcvMeA,
107,,,,,WzhcogaaQna27OIsPTh1ZQ,
108,,,,,D7w2JAlWSRS9H5kqvfMr1A,
109,,,,,AhqrkMl-TRKv2n5Fa1HVIQ,
110,,,,,cMYNvS1-TaO7Mr2dqyj-RQ,
111,,,,,1s7000zjS.OGBY15m5qpDA,
112,,,,,ykSfQ8KHTVOFFmUceuv9lQ,
113,,,,,aEUE7QNeQrKieGkSeuwCAg,
114,,,,,XDphkDJrRMWJ5B6Cmrta.w,
115,,,,,584yg-FOSmO0j9vy9S6PQw,
116,,,,,GFSddV-RSYKRAO6.5CEcaA,
117,,,,,01WzhAJjTO-qH1kvYXHcDQ,
118,,,,,gF8QpL2STdyT2BNc-f7gDg,
119,,,,,a-fKbP0b3SM6Q0R6MZcZuJA,
120,,,,,dRNwbq.bTeO7F0yU-dGAHw,
121,,,,,cbOEUoETSKu-SbK7btOvyg,
122,,,,,rsrXuyRwRYChPGV0c0I2eQ,
123,,,,,IK18EvwmT-u9ipaUaahSyw,
124,,,,,qRj44MNnSHSupU4mX-wRiw,
125,,,,,33Y8VPAUSsuOVHKki2x6ow,
126,,,,,2X81KlRATTKw1w8XGwtFGw,
127,,,,,0kZsahlgQDKqw9Bs.bzx3w,
128,,,,,NhhjgJHUTsmJqeMArxqNOg,
129,,,,,oqVtQS-sSdCPjFcFSRWhNA,
130,,,,,a.5lBx38.TQ29jzVlt9xDvw,
131,,,,,HyZYLjYUTBOzyOu639menQ,
132,,,,,9.6PQFplTnesXhGQuzMriA,
133,,,,,tBvmo5TdSaO6.ak3AeOsJQ,
134,,,,,qR3R752USyqviE9-XZEx7g,
135,,,,,hFMZm85HQZSYg8yuBL.X2A,
136,,,,,FJW2SN-pR1aFqD832coT5Q,
137,,,,,P2xPQKeKQNioJt2o2THhzA,
138,,,,,eELg5qhsQCmqqFXwVwdxrQ,
